epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2514.55,0.36507,0.51116,0.25093,0.89464,0.96974,0.91296,0.93733,0.90645,0.96974,0.91296,0.93746,0.90684,0.31311,0.56896,0.34842,0.87649,0.0006536,0.0006536,0.0006536
70,2550.45,0.36215,0.50856,0.24578,0.89345,0.96387,0.90598,0.93992,0.91357,0.96387,0.90598,0.93992,0.90863,0.29139,0.55306,0.31696,0.84207,0.0006338,0.0006338,0.0006338
71,2586.32,0.35401,0.50475,0.24226,0.88894,0.96303,0.92308,0.93885,0.90841,0.96303,0.92308,0.94169,0.90867,0.3138,0.52396,0.31653,0.88116,0.000614,0.000614,0.000614
72,2622.16,0.35426,0.51111,0.24223,0.89118,0.98033,0.90883,0.94162,0.91904,0.98033,0.90883,0.94432,0.91308,0.30078,0.52487,0.33249,0.8624,0.0005942,0.0005942,0.0005942
73,2657.96,0.3526,0.49944,0.23997,0.88807,0.98386,0.90741,0.94048,0.91714,0.98386,0.90741,0.94068,0.91568,0.29827,0.51954,0.3231,0.85397,0.0005744,0.0005744,0.0005744
74,2693.7,0.35008,0.50038,0.23907,0.88907,0.97939,0.88014,0.93521,0.91288,0.97939,0.88014,0.93521,0.90582,0.2974,0.54631,0.35951,0.84738,0.0005546,0.0005546,0.0005546
75,2729.52,0.34852,0.50076,0.2356,0.89143,0.97225,0.89841,0.95268,0.92818,0.97225,0.89841,0.95259,0.92224,0.28758,0.53975,0.30541,0.83993,0.0005348,0.0005348,0.0005348
76,2765.38,0.34457,0.48201,0.23401,0.89042,0.98441,0.90883,0.94509,0.91878,0.98441,0.90883,0.9452,0.90943,0.30093,0.52452,0.31627,0.84811,0.000515,0.000515,0.000515
77,2801.25,0.34873,0.48956,0.23861,0.89101,0.96581,0.89601,0.93984,0.91368,0.96581,0.89601,0.9422,0.90971,0.30704,0.53349,0.34576,0.85853,0.0004952,0.0004952,0.0004952
78,2837.19,0.34393,0.49229,0.23229,0.88726,0.9579,0.90744,0.95286,0.92717,0.9579,0.90744,0.9547,0.92167,0.292,0.5707,0.31151,0.84049,0.0004754,0.0004754,0.0004754
79,2873.01,0.34696,0.49395,0.23548,0.8906,0.97947,0.90456,0.94483,0.92126,0.97947,0.90456,0.94749,0.91379,0.2885,0.53717,0.30313,0.84705,0.0004556,0.0004556,0.0004556
80,2908.82,0.33411,0.47862,0.22879,0.88514,0.9816,0.88462,0.94814,0.91794,0.9816,0.88462,0.94997,0.91609,0.29353,0.56808,0.30268,0.857,0.0004358,0.0004358,0.0004358
81,2944.64,0.33328,0.46511,0.22181,0.88267,0.97349,0.88889,0.94687,0.91446,0.97349,0.88889,0.95082,0.91175,0.30712,0.55631,0.33161,0.8585,0.000416,0.000416,0.000416
82,2980.44,0.33536,0.47851,0.22749,0.88575,0.97482,0.89886,0.94107,0.91149,0.97482,0.89886,0.94392,0.90819,0.30372,0.53596,0.31832,0.86181,0.0003962,0.0003962,0.0003962
83,3016.43,0.3327,0.46966,0.22384,0.88541,0.97503,0.89744,0.94784,0.92183,0.97503,0.89744,0.94884,0.91677,0.28635,0.52632,0.30731,0.8509,0.0003764,0.0003764,0.0003764
84,3052.36,0.33166,0.46397,0.22234,0.88419,0.97839,0.90284,0.95092,0.92592,0.97839,0.90284,0.95248,0.92335,0.29276,0.5137,0.30871,0.8625,0.0003566,0.0003566,0.0003566
85,3088.11,0.32758,0.46353,0.22155,0.88459,0.98,0.89031,0.94421,0.92227,0.98,0.89031,0.94656,0.91652,0.28881,0.50913,0.3308,0.8539,0.0003368,0.0003368,0.0003368
86,3123.98,0.32655,0.46537,0.22091,0.884,0.98585,0.90171,0.94956,0.91983,0.98585,0.90171,0.95295,0.91376,0.29262,0.53737,0.30907,0.85664,0.000317,0.000317,0.000317
87,3159.95,0.32872,0.46213,0.22173,0.88113,0.97833,0.90033,0.95181,0.92028,0.97833,0.90033,0.95271,0.91632,0.29668,0.5643,0.3107,0.86042,0.0002972,0.0002972,0.0002972
88,3195.95,0.32464,0.46154,0.21645,0.88081,0.97704,0.90922,0.95222,0.92421,0.97704,0.90922,0.95324,0.92126,0.29661,0.55394,0.31291,0.86791,0.0002774,0.0002774,0.0002774
89,3231.96,0.31825,0.45469,0.21389,0.87634,0.97709,0.91133,0.95455,0.9252,0.97709,0.91133,0.95711,0.91952,0.29297,0.54135,0.29951,0.85444,0.0002576,0.0002576,0.0002576
90,3267.92,0.31662,0.4529,0.21085,0.87788,0.97989,0.90215,0.95135,0.92111,0.97989,0.90215,0.95253,0.9211,0.29356,0.53938,0.32738,0.85099,0.0002378,0.0002378,0.0002378
91,3327.62,0.22875,0.34289,0.17731,0.8436,0.97118,0.91217,0.94169,0.91754,0.97118,0.91217,0.94536,0.91164,0.29899,0.58417,0.31822,0.85215,0.000218,0.000218,0.000218
92,3363.37,0.21971,0.31786,0.16853,0.84166,0.97839,0.90294,0.94782,0.92246,0.9712,0.91283,0.9489,0.92172,0.28924,0.58542,0.30352,0.84208,0.0001982,0.0001982,0.0001982
93,3399.15,0.21954,0.32274,0.16902,0.83869,0.98152,0.90784,0.94908,0.92131,0.98152,0.90784,0.94935,0.92232,0.28435,0.56511,0.28986,0.84255,0.0001784,0.0001784,0.0001784
94,3434.96,0.21233,0.30899,0.16528,0.8409,0.97574,0.91311,0.95079,0.92918,0.97574,0.91311,0.95079,0.93054,0.27622,0.56786,0.2835,0.83368,0.0001586,0.0001586,0.0001586
95,3470.88,0.20371,0.31129,0.15587,0.83447,0.97866,0.91441,0.95483,0.93056,0.97866,0.91441,0.95483,0.93011,0.27628,0.56681,0.29087,0.83329,0.0001388,0.0001388,0.0001388
96,3506.69,0.20466,0.30404,0.15599,0.83286,0.96848,0.90741,0.95583,0.92963,0.96848,0.90741,0.95583,0.92873,0.2807,0.59631,0.29544,0.84141,0.000119,0.000119,0.000119
97,3542.12,0.20112,0.29494,0.15682,0.83464,0.97123,0.90598,0.95469,0.92908,0.97123,0.90598,0.95469,0.92773,0.28243,0.58474,0.29825,0.84688,9.92e-05,9.92e-05,9.92e-05
98,3577.37,0.20066,0.29191,0.15251,0.82921,0.97119,0.91245,0.95388,0.93076,0.97119,0.91245,0.9539,0.92755,0.27857,0.59209,0.29557,0.84248,7.94e-05,7.94e-05,7.94e-05
99,3612.69,0.19644,0.2955,0.14744,0.82835,0.97269,0.9134,0.95456,0.93079,0.97269,0.9134,0.95456,0.93031,0.27732,0.60828,0.29027,0.84384,5.96e-05,5.96e-05,5.96e-05
100,3647.9,0.19819,0.29266,0.14803,0.83279,0.97105,0.9079,0.95473,0.92946,0.97105,0.9079,0.95477,0.92821,0.27764,0.61474,0.29333,0.84557,3.98e-05,3.98e-05,3.98e-05
