epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2104.35,0.40307,0.61864,0.256,0.92897,0.93782,0.88421,0.9241,0.83345,0.93837,0.88151,0.92119,0.82891,0.50388,0.85802,0.41778,1.10893,0.0004556,0.0004556,0.0004556
80,2130.84,0.40336,0.6196,0.25316,0.92579,0.95744,0.88802,0.91973,0.83104,0.95744,0.88802,0.92115,0.81828,0.55088,0.86827,0.41797,1.15875,0.0004358,0.0004358,0.0004358
81,2157.41,0.4036,0.61964,0.25501,0.92325,0.95651,0.86811,0.91845,0.83263,0.95796,0.83953,0.91682,0.82576,0.52145,0.86726,0.41875,1.13843,0.000416,0.000416,0.000416
82,2183.97,0.39717,0.61947,0.25156,0.91983,0.94688,0.88421,0.92884,0.84187,0.94688,0.88421,0.93053,0.83305,0.51578,0.88257,0.40557,1.14138,0.0003962,0.0003962,0.0003962
83,2210.42,0.39416,0.60805,0.24959,0.92399,0.96389,0.87368,0.91501,0.82859,0.96389,0.87368,0.91501,0.82114,0.53393,0.83717,0.41951,1.15173,0.0003764,0.0003764,0.0003764
84,2236.89,0.39138,0.61844,0.25375,0.91783,0.94511,0.87368,0.90758,0.82806,0.94511,0.87368,0.90758,0.82096,0.52411,0.88411,0.42944,1.15416,0.0003566,0.0003566,0.0003566
85,2263.35,0.38847,0.60647,0.24878,0.92419,0.92234,0.87105,0.92255,0.83743,0.92234,0.87105,0.92255,0.8325,0.49527,0.86395,0.42288,1.10281,0.0003368,0.0003368,0.0003368
86,2289.94,0.39152,0.60319,0.24884,0.92262,0.94602,0.87634,0.92491,0.84224,0.94602,0.87634,0.92589,0.83659,0.50313,0.85001,0.38637,1.12047,0.000317,0.000317,0.000317
87,2316.59,0.37968,0.59504,0.24342,0.91846,0.95932,0.86882,0.92771,0.84466,0.95932,0.86882,0.92906,0.84133,0.4981,0.8736,0.38689,1.1169,0.0002972,0.0002972,0.0002972
88,2343.03,0.38557,0.59775,0.24689,0.91694,0.9474,0.87632,0.92714,0.84061,0.9474,0.87632,0.92843,0.82736,0.48181,0.93532,0.40603,1.09879,0.0002774,0.0002774,0.0002774
89,2369.44,0.38217,0.59469,0.24212,0.92034,0.94722,0.87105,0.92255,0.82574,0.94722,0.87105,0.92418,0.81985,0.51006,0.90509,0.41908,1.11979,0.0002576,0.0002576,0.0002576
90,2395.83,0.38516,0.60509,0.24467,0.92105,0.94595,0.87512,0.91136,0.81798,0.9455,0.87895,0.91145,0.81426,0.52675,0.91652,0.42002,1.14323,0.0002378,0.0002378,0.0002378
91,2445.17,0.26889,0.43396,0.18378,0.86233,0.95672,0.89211,0.94189,0.85988,0.95672,0.89211,0.94372,0.84738,0.50542,0.93635,0.37319,1.14227,0.000218,0.000218,0.000218
92,2471.2,0.26779,0.42302,0.16909,0.86256,0.95997,0.8836,0.93622,0.84176,0.95902,0.88158,0.93301,0.83566,0.52487,0.90512,0.39066,1.15429,0.0001982,0.0001982,0.0001982
93,2497.23,0.26376,0.40751,0.17092,0.85696,0.95679,0.87397,0.92594,0.84993,0.95679,0.87397,0.92544,0.84753,0.50528,0.89571,0.39029,1.14051,0.0001784,0.0001784,0.0001784
94,2523.24,0.25499,0.40414,0.16247,0.85807,0.96217,0.87012,0.92462,0.843,0.96217,0.87012,0.92462,0.83917,0.49969,0.9335,0.38415,1.13927,0.0001586,0.0001586,0.0001586
95,2549.44,0.24881,0.39414,0.16254,0.84361,0.95948,0.88158,0.93221,0.85633,0.95948,0.88158,0.93221,0.85098,0.51083,0.9352,0.36854,1.15341,0.0001388,0.0001388,0.0001388
96,2575.55,0.24734,0.39495,0.16099,0.84843,0.96628,0.88421,0.93374,0.85307,0.96341,0.88158,0.93354,0.84739,0.50894,0.9444,0.35944,1.15339,0.000119,0.000119,0.000119
97,2601.69,0.2432,0.38414,0.15633,0.84709,0.96743,0.88421,0.9424,0.85921,0.96455,0.88158,0.94019,0.85477,0.50243,0.92463,0.36394,1.14586,9.92e-05,9.92e-05,9.92e-05
98,2627.81,0.23653,0.37959,0.15453,0.84402,0.96271,0.88316,0.94457,0.85873,0.96271,0.88316,0.94418,0.85566,0.49278,0.93991,0.36574,1.13549,7.94e-05,7.94e-05,7.94e-05
99,2653.9,0.23958,0.3887,0.16003,0.84515,0.96272,0.88343,0.94092,0.85902,0.96802,0.87617,0.94005,0.85465,0.50102,0.93724,0.36967,1.1385,5.96e-05,5.96e-05,5.96e-05
100,2680.67,0.23408,0.38063,0.15383,0.84794,0.9668,0.87632,0.93763,0.85859,0.96731,0.87368,0.93884,0.85295,0.50005,0.94754,0.36457,1.14218,3.98e-05,3.98e-05,3.98e-05
